ParticipantNum,TestScore,TestSite,TreatmentType
1,55.8247927,A,TreatmentA
2,74.78459162,A,TreatmentB
3,93.36390768,A,TreatmentA
4,41.67642321,A,TreatmentB
5,71.94771443,A,TreatmentA
6,56.91645027,A,TreatmentB
7,85.35061893,A,TreatmentA
8,60.91638021,A,TreatmentB
9,46.34450359,A,TreatmentA
10,79.26585648,A,TreatmentB
11,66.03268869,A,TreatmentA
12,84.97715026,A,TreatmentB
13,69.56746597,A,TreatmentA
14,80.63065355,A,TreatmentB
15,63.78834709,A,TreatmentA
16,73.50433891,A,TreatmentB
17,62.20772076,A,TreatmentA
18,69.38050264,A,TreatmentB
19,83.89059551,A,TreatmentA
20,70.94750029,A,TreatmentB
21,74.20592023,A,TreatmentA
22,68.56773658,A,TreatmentB
23,71.48125422,A,TreatmentA
24,84.41449715,B,TreatmentB
25,44.98894922,B,TreatmentA
26,97.13125852,B,TreatmentB
27,80.01190864,B,TreatmentA
28,76.35600839,B,TreatmentB
29,11.80647723,B,TreatmentA
30,40.72461963,B,TreatmentB
31,77.36227971,B,TreatmentA
32,56.50386712,B,TreatmentB
33,69.21045679,B,TreatmentA
34,73.17032039,B,TreatmentB
35,60.89169926,B,TreatmentA
36,54.7486165,B,TreatmentB
37,41.20722464,B,TreatmentA
38,66.8984634,B,TreatmentB
39,85.6418616,B,TreatmentA
40,48.04861093,B,TreatmentB
41,71.087966,B,TreatmentA
42,68.80195177,B,TreatmentB
43,67.72912627,B,TreatmentA
44,94.0552457,B,TreatmentB
45,69.8957814,B,TreatmentA
46,70.68989298,B,TreatmentB
47,74.2708297,B,TreatmentA
48,76.0395183,B,TreatmentB
49,76.89821546,B,TreatmentA
50,76.17625144,B,TreatmentB
51,68.46351383,C,TreatmentA
52,81.68028566,C,TreatmentB
53,86.6832403,C,TreatmentA
54,79.6006086,C,TreatmentB
55,86.16409713,C,TreatmentA
56,55.97312048,C,TreatmentB
57,46.24177274,C,TreatmentA
58,63.85909417,C,TreatmentB
59,66.32623322,C,TreatmentA
60,48.21961174,C,TreatmentB
61,72.22413382,C,TreatmentB
62,64.26510917,C,TreatmentA
63,46.80988366,C,TreatmentB
64,86.63616653,C,TreatmentA
65,64.12062392,C,TreatmentB
66,60.15202838,C,TreatmentA
67,58.80126216,C,TreatmentB
68,50.48154359,C,TreatmentA
69,83.96026537,C,TreatmentB
70,82.59426059,C,TreatmentA
71,64.08175012,C,TreatmentB
72,60.26048698,C,TreatmentA
73,70.48157723,C,TreatmentB
74,85.15849477,C,TreatmentA
75,82.75877847,C,TreatmentB
76,69.10673619,C,TreatmentA
77,82.1497815,C,TreatmentB
78,79.34153622,C,TreatmentA
79,73.3500488,C,TreatmentB
80,86.44301118,C,TreatmentA
81,58.68302158,D,TreatmentB
82,75.03351386,D,TreatmentA
83,71.9989296,D,TreatmentB
84,63.65333877,D,TreatmentA
85,54.90239721,D,TreatmentB
86,49.35827178,D,TreatmentA
87,58.13714213,D,TreatmentB
88,24.17709814,D,TreatmentA
89,63.73806833,D,TreatmentB
90,70.98260481,D,TreatmentA
91,55.9028268,D,TreatmentB
92,87.94528533,D,TreatmentA
93,73.81266573,D,TreatmentB
94,56.34144408,D,TreatmentA
95,78.4540551,D,TreatmentB
96,90.97726782,D,TreatmentA
97,75.11814634,D,TreatmentB
98,28.4380552,D,TreatmentA
99,55.49794184,D,TreatmentB
100,83.39751728,D,TreatmentA
101,60.35258997,D,TreatmentA
102,71.1426528,D,TreatmentA
103,71.35192658,D,TreatmentA
104,67.92862811,D,TreatmentA
105,73.67712107,D,TreatmentA
106,76.98025692,D,TreatmentA
107,44.51520941,D,TreatmentA
108,39.1646356,D,TreatmentA
109,77.62037179,D,TreatmentB
110,33.02643857,D,TreatmentB
111,63.52210006,D,TreatmentB
112,84.80307678,D,TreatmentB
113,75.4203661,D,TreatmentB
